FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	VQ-ZZLU-N8B5		0-10$	46.22	11000000	0		123	1
Amazon US	VB-Z281-K1HD		0-10$	47.41	11000000	0		123	1
Amazon US	F0-KQ9T-X2X1		0-10$	81.46	11000000	0		123	1
Amazon US	SO-1766-3O8Q		0-10$	23.82	11000000	0		123	1
Amazon US	12-YULH-B3LV		0-10$	24.52	11000000	0		123	1
Amazon US	5I-S1D6-0CJ5		0-10$	32.7	11000000	0		123	1
Amazon US	XH-6TZJ-JAE0		0-10$	39.32	11000000	0		123	1
Amazon US	0J-FACL-JZCC		0-10$	34.98	11000000	0		123	1
Amazon US	C6-IZB8-9P7C		0-10$	157.71	11000000	0		123	1
Amazon US	PF-T66W-XJPO		0-10$	275.32	11000000	0		123	1
Amazon US	OA-DNO1-WLYH		0-10$	180.75	11000000	0		123	1
Amazon US	TL-FLQI-36N0		0-10$	947.47	11000000	0		123	1
Amazon US	BK-7OHG-5QM7		0-10$	121.74	11000000	0		123	1
Amazon US	VA-9C6D-2BGW		0-10$	606.62	11000000	0		123	1
Amazon US	UC-JIFV-HVTI		0-10$	1101.62	11000000	0		123	1
Amazon US	OT-XXA6-Z76I		0-10$	364.92	11000000	0		123	1
Amazon US	NU-CKX6-TLL8		0-10$	358.24	11000000	0		123	1
Amazon US	G7-IJ8D-ODMF		0-10$	3066.02	11000000	0		123	1
Amazon US	P0-HN3T-Y5A8		0-10$	777.19	11000000	0		123	1
Amazon US	ZS-9Z20-XFX7		0-10$	623.48	11000000	0		123	1
Amazon US	50-S4IA-LJ6U		0-10$	163.12	11000000	0		123	1
Amazon US	J0-MDLL-ES18		0-10$	739.79	11000000	0		123	1
Amazon US	0R-140F-QUHJ		0-10$	26.37	11000000	0		123	1
Amazon US	XS-OUV4-6J2I		0-10$	53.6	11000000	0		123	1
Amazon US	3W-C9I3-SZL7		0-10$	59.03	11000000	0		123	1
Amazon US	YO-NATH-85YN		0-10$	54.83	11000000	0		123	1
Amazon US	QX-49R8-P7RY		0-10$	23.8	11000000	0		123	1
Amazon US	BK-IOKD-UZSB		0-10$	28.95	11000000	0		123	1
Amazon US	47-HOBP-TQXF		0-10$	59.87	11000000	0		123	1
Amazon US	IZ-K4UY-ZHY1		0-10$	16.6	11000000	0		123	1
Amazon US	57-PTHN-J6B8		0-10$	13.43	11000000	0		123	1
Amazon US	14-3Y4Y-RBGV		0-10$	13.99	11000000	0		123	1
Amazon US	5K-KEDF-JEMJ		0-10$	13.15	11000000	0		123	1
Amazon US	ON-GCB2-YNHA		0-10$	16.67	11000000	0		123	1
Amazon US	9U-FHQH-B1IC		0-10$	82.95	11000000	0		123	1
Amazon US	BE-8B84-JFCG		0-10$	24.61	11000000	0		123	1
Amazon US	B7-2ASB-FROT		0-10$	9999999	11000000	0		123	0
Amazon US	PS-76OJ-VSY4		0-10$	19.46	11000000	0		123	1
Amazon US	NP-YJOU-CJRW		0-10$	207.7	11000000	0		123	1
